classes,fscore,precision,recall
average,0.979762,0.979762,0.979762
0,0.969697,1.000000,0.941176
1,1.000000,1.000000,1.000000
2,0.976744,1.000000,0.954545
3,1.000000,1.000000,1.000000
6,0.985507,0.971429,1.000000
8,0.983607,1.000000,0.967742
9,0.850000,0.850000,0.850000
b,1.000000,1.000000,1.000000
c,0.983051,1.000000,0.966667
d,1.000000,1.000000,1.000000
e,1.000000,1.000000,1.000000
g,0.975000,1.000000,0.951220
h,1.000000,1.000000,1.000000
l,0.981132,0.962963,1.000000
m,1.000000,1.000000,1.000000
n,0.985507,1.000000,0.971429
o,0.969697,0.969697,0.969697
p,1.000000,1.000000,1.000000
q,0.901099,0.891304,0.911111
r,0.984615,0.969697,1.000000
s,0.985075,0.970588,1.000000
u,1.000000,1.000000,1.000000
v,0.984127,0.968750,1.000000
w,0.987952,0.976190,1.000000
y,0.986301,1.000000,0.972973
z,0.957746,0.944444,0.971429
