classes,fscore,precision,recall
average,0.701186,0.701186,0.701186
0,0.516854,0.522727,0.511111
1,0.788732,0.746667,0.835821
2,0.522523,0.508772,0.537037
3,0.786885,0.786885,0.786885
4,0.738095,0.720930,0.756098
5,0.727273,0.734694,0.720000
6,0.637681,0.619718,0.656716
7,0.390244,0.400000,0.380952
8,0.619048,0.571429,0.675325
9,0.721805,0.695652,0.750000
a,0.551351,0.542553,0.560440
b,0.724138,0.695364,0.755396
c,0.782609,0.776978,0.788321
d,0.789474,0.774194,0.805369
e,0.831683,0.851351,0.812903
f,0.685315,0.753846,0.628205
g,0.714286,0.693642,0.736196
h,0.616766,0.605882,0.628049
i,0.769231,0.735294,0.806452
j,0.804348,0.795699,0.813187
k,0.748387,0.828571,0.682353
l,0.806154,0.813665,0.798780
m,0.704762,0.680982,0.730263
n,0.658065,0.708333,0.614458
o,0.579926,0.586466,0.573529
p,0.724252,0.736486,0.712418
q,0.696774,0.739726,0.658537
r,0.622074,0.620000,0.624161
s,0.821317,0.856209,0.789157
t,0.815287,0.831169,0.800000
u,0.603922,0.626016,0.583333
v,0.576271,0.562914,0.590278
w,0.782609,0.806897,0.759740
x,0.662338,0.662338,0.662338
y,0.700315,0.672727,0.730263
z,0.659864,0.646667,0.673611
