classes,fscore,precision,recall
average,0.656822,0.656822,0.656822
0,0.571429,1.000000,0.400000
1,0.754545,0.965116,0.619403
2,0.587500,0.903846,0.435185
3,0.813397,0.977011,0.696721
4,0.586207,1.000000,0.414634
5,0.563380,0.952381,0.400000
6,0.535316,0.533333,0.537313
7,0.651163,0.933333,0.500000
8,0.769841,0.989796,0.629870
9,0.594796,0.567376,0.625000
a,0.594595,0.655629,0.543956
b,0.658228,0.661818,0.654676
c,0.832714,0.848485,0.817518
d,0.771429,0.984375,0.634228
e,0.851920,0.983122,0.751613
f,0.806084,0.990654,0.679487
g,0.641176,0.615819,0.668712
h,0.480000,0.390805,0.621951
i,0.759740,0.959016,0.629032
j,0.801262,0.940741,0.697802
k,0.666667,0.936170,0.517647
l,0.867430,0.936396,0.807927
m,0.738275,0.683473,0.802632
n,0.516421,0.413793,0.686747
o,0.561688,0.502907,0.636029
p,0.672694,0.753036,0.607843
q,0.574386,0.498876,0.676829
r,0.582237,0.570968,0.593960
s,0.775885,0.686775,0.891566
t,0.735178,1.000000,0.581250
u,0.391892,0.304622,0.549242
v,0.604824,0.649402,0.565972
w,0.743802,0.757576,0.730519
x,0.567797,0.817073,0.435065
y,0.635484,0.623418,0.648026
z,0.671512,0.577500,0.802083
