classes,fscore,precision,recall
average,0.678201,0.678201,0.678201
0,0.545455,0.558140,0.533333
1,0.717557,0.734375,0.701493
2,0.678571,0.655172,0.703704
3,0.636364,0.591549,0.688525
4,0.674699,0.666667,0.682927
5,0.612245,0.625000,0.600000
6,0.377622,0.355263,0.402985
7,0.488372,0.477273,0.500000
8,0.562092,0.565789,0.558442
9,0.603175,0.612903,0.593750
a,0.604651,0.641975,0.571429
b,0.627586,0.602649,0.654676
c,0.750000,0.734266,0.766423
d,0.760274,0.776224,0.744966
e,0.809211,0.825503,0.793548
f,0.727273,0.736842,0.717949
g,0.727273,0.696629,0.760736
h,0.634441,0.628743,0.640244
i,0.741573,0.776471,0.709677
j,0.829545,0.858824,0.802198
k,0.785714,0.795181,0.776471
l,0.786164,0.811688,0.762195
m,0.733119,0.716981,0.750000
n,0.589286,0.582353,0.596386
o,0.505576,0.511278,0.500000
p,0.662295,0.664474,0.660131
q,0.664615,0.670807,0.658537
r,0.651316,0.638710,0.664430
s,0.838509,0.865385,0.813253
t,0.785714,0.750000,0.825000
u,0.596899,0.611111,0.583333
v,0.601351,0.585526,0.618056
w,0.734266,0.795455,0.681818
x,0.594937,0.580247,0.610390
y,0.630225,0.616352,0.644737
z,0.717770,0.720280,0.715278
