classes,fscore,precision,recall
average,0.891992,0.891992,0.891992
0,0.731707,0.810811,0.666667
1,0.920863,0.888889,0.955224
2,0.865385,0.900000,0.833333
3,0.983333,1.000000,0.967213
4,0.891892,1.000000,0.804878
5,0.916667,0.956522,0.880000
6,0.755556,0.750000,0.761194
7,0.843373,0.853659,0.833333
8,0.884615,0.873418,0.896104
9,0.830508,0.907407,0.765625
a,0.858696,0.849462,0.868132
b,0.900709,0.888112,0.913669
c,0.966543,0.984848,0.948905
d,0.934641,0.910828,0.959732
e,0.936306,0.924528,0.948387
f,0.940397,0.972603,0.910256
g,0.901493,0.877907,0.926380
h,0.858006,0.850299,0.865854
i,0.939891,0.955556,0.924731
j,0.945055,0.945055,0.945055
k,0.858824,0.858824,0.858824
l,0.929664,0.932515,0.926829
m,0.860841,0.847134,0.875000
n,0.852761,0.868750,0.837349
o,0.801418,0.773973,0.830882
p,0.832298,0.792899,0.875817
q,0.890909,0.885542,0.896341
r,0.885906,0.885906,0.885906
s,0.972477,0.987578,0.957831
t,0.948718,0.973684,0.925000
u,0.866667,0.847826,0.886364
v,0.888087,0.924812,0.854167
w,0.922078,0.922078,0.922078
x,0.899329,0.930556,0.870130
y,0.851485,0.854305,0.848684
z,0.911565,0.893333,0.930556
