classes,fscore,precision,recall
average,0.880245,0.880245,0.880245
a,0.879310,0.927273,0.836066
b,0.929032,0.923077,0.935065
c,0.932515,0.915663,0.950000
d,0.945946,0.958904,0.933333
e,0.974684,0.987179,0.962500
f,0.872727,0.827586,0.923077
g,0.952941,0.941860,0.964286
h,0.782609,0.863014,0.715909
i,0.914894,0.905263,0.924731
j,0.924731,0.905263,0.945055
k,0.826087,0.767677,0.894118
l,0.852321,0.789062,0.926606
m,0.592593,0.761905,0.484848
n,0.771300,0.666667,0.914894
o,0.906667,0.918919,0.894737
p,0.666667,0.914894,0.524390
q,0.884848,0.858824,0.912500
r,0.754967,0.876923,0.662791
s,0.985222,0.980392,0.990099
t,0.974684,0.987179,0.962500
u,0.919708,0.913043,0.926471
v,0.818653,0.738318,0.918605
w,0.915493,0.915493,0.915493
x,0.961039,0.961039,0.961039
y,0.948052,0.948052,0.948052
z,0.916667,0.970588,0.868421
