classes,fscore,precision,recall
average,0.933993,0.933993,0.933993
a,0.923077,0.964286,0.885246
b,0.941935,0.935897,0.948052
c,0.950000,0.950000,0.950000
d,0.947368,0.935065,0.960000
e,0.975000,0.975000,0.975000
f,0.980392,1.000000,0.961538
g,0.940476,0.940476,0.940476
h,0.853933,0.844444,0.863636
i,0.956989,0.956989,0.956989
j,0.960894,0.977273,0.945055
k,0.900585,0.895349,0.905882
l,0.935780,0.935780,0.935780
m,0.806202,0.825397,0.787879
n,0.906250,0.887755,0.925532
o,0.906667,0.918919,0.894737
p,0.920245,0.925926,0.914634
q,0.914634,0.892857,0.937500
r,0.875000,0.855556,0.895349
s,0.990099,0.990099,0.990099
t,0.974684,0.987179,0.962500
u,0.964029,0.943662,0.985294
v,0.941860,0.941860,0.941860
w,0.923077,0.916667,0.929577
x,0.980392,0.986842,0.974026
y,0.929032,0.923077,0.935065
z,0.966443,0.986301,0.947368
