classes,fscore,precision,recall
average,0.932032,0.932032,0.932032
0,0.931818,0.953488,0.911111
1,0.962406,0.969697,0.955224
2,0.914286,0.941176,0.888889
3,0.983607,0.983607,0.983607
4,0.987654,1.000000,0.975610
5,0.920000,0.920000,0.920000
6,0.834646,0.883333,0.791045
7,0.888889,0.923077,0.857143
8,0.935897,0.924051,0.948052
9,0.906250,0.906250,0.906250
a,0.933333,0.943820,0.923077
b,0.906475,0.906475,0.906475
c,0.970149,0.992366,0.948905
d,0.953333,0.947020,0.959732
e,0.961290,0.961290,0.961290
f,0.960526,0.986486,0.935897
g,0.945122,0.939394,0.950920
h,0.906907,0.893491,0.920732
i,0.950276,0.977273,0.924731
j,0.950276,0.955556,0.945055
k,0.921212,0.950000,0.894118
l,0.969512,0.969512,0.969512
m,0.898089,0.870370,0.927632
n,0.918919,0.916168,0.921687
o,0.889706,0.889706,0.889706
p,0.876190,0.851852,0.901961
q,0.903030,0.897590,0.908537
r,0.907895,0.890323,0.926174
s,0.963636,0.969512,0.957831
t,0.968553,0.974684,0.962500
u,0.942529,0.953488,0.931818
v,0.916667,0.916667,0.916667
w,0.964401,0.961290,0.967532
x,0.973684,0.986667,0.961039
y,0.928105,0.922078,0.934211
z,0.938776,0.920000,0.958333
