classes,fscore,precision,recall
average,0.696243,0.696243,0.696243
0,0.477273,0.488372,0.466667
1,0.676471,0.666667,0.686567
2,0.629630,0.629630,0.629630
3,0.841270,0.815385,0.868852
4,0.744681,0.660377,0.853659
5,0.787879,0.795918,0.780000
6,0.402985,0.402985,0.402985
7,0.545455,0.600000,0.500000
8,0.738854,0.725000,0.753247
9,0.645161,0.666667,0.625000
a,0.685083,0.688889,0.681319
b,0.698962,0.673333,0.726619
c,0.804511,0.829457,0.781022
d,0.745763,0.753425,0.738255
e,0.875817,0.887417,0.864516
f,0.732558,0.670213,0.807692
g,0.713826,0.750000,0.680982
h,0.652038,0.670968,0.634146
i,0.790000,0.738318,0.849462
j,0.868132,0.868132,0.868132
k,0.662921,0.634409,0.694118
l,0.755287,0.748503,0.762195
m,0.704698,0.719178,0.690789
n,0.652568,0.654545,0.650602
o,0.568421,0.543624,0.595588
p,0.660131,0.660131,0.660131
q,0.619883,0.595506,0.646341
r,0.584838,0.632812,0.543624
s,0.830769,0.849057,0.813253
t,0.769231,0.789474,0.750000
u,0.645914,0.664000,0.628788
v,0.569395,0.583942,0.555556
w,0.727848,0.709877,0.746753
x,0.683871,0.679487,0.688312
y,0.688963,0.700680,0.677632
z,0.673540,0.666667,0.680556
